name,term,facts,decision_type,first_party,second_party,first_party_winner,issue_area,facts_len,majority_vote,deepseek_responses,llama_responses,deepseek_contamination,llama_contamination
Lorenzo v. Securities and Exchange Commission,2018,"<p>Francis Lorenzo was the director of investment banking at Charles Vista, LLC, a registered broker-dealer. Lorenzo’s only investment-banking client at the relevant time was a start-up company named Waste2Energy Holdings (W2E). W2E claimed to have developed an innovative technology, and its valuation was entirely dependent on realization of that technology.</p>
<p>The technology never materialized, and W2E sought to avoid complete financial ruin by offering up to $15 million in “debentures”—which is debt secured only by the debtor’s earning power, rather than by a lien on a tangible asset. At the time, W2E’s most recent SEC filing did not indicate the possible devaluation of the company’s intangible assets and stated only that they were worth over $10 million.</p>
<p>After an audit, W2E filed a Form 8-K reporting total impairment of its intangible assets and valuing its total assets at $370,552. Lorenzo’s secretary alerted him via email about the amended filings, and Lorenzo contacted the Charles Vista brokers about them. Nearly two weeks later, Lorenzo emailed two potential investors “several key points” about W2E’s pending debenture offering, but rather than even mentioning the devaluation of W2E’s intangible assets, he assured both that the offering came with “3 layers of protection,” which were: $10 million in “confirmed assets”; purchase orders and LOIs for “over $43 [million] in orders”; and Charles Vista has agreed to raise additional monies to repay the debenture holders if necessary. One of these emails stated it had been sent “at the request of [Lorenzo’s boss]” and the other stated it was sent “at the request of [another broker with the firm].” Lorenzo’s name and title were at the bottom of both emails.</p>
<p>The SEC charged Lorenzo, his boss, and Charles Vista with violating three securities-fraud provisions: Section 17(a)(1) of the Securities Act of 1933; Section 10(b) of the Securities Exchange Act of 1934, and Securities Exchange Act Rule 10b-5. Lorenzo’s boss and Charles Vista settled the charges against them, but Lorenzo proceeded to resolution before the agency. An ALJ found that Lorenzo had willfully violated all three provisions of the Securities and Exchange Acts by his misrepresentations to investors. On review, the full Commission sustained the ALQ’s decision, and Lorenzo appealed to the US Court of Appeals for the DC Circuit, which upheld the Commission’s findings as to two of the provisions, but reversed as to its finding that he violated Rule 10b-5(b). That provision prohibits the making of materially false statements in connection with the purchase or sale of securities. A majority of the DC Circuit panel found that because Lorenzo’s boss, not Lorenzo himself, retained “ultimate authority” over the statements, Lorenzo did not violate that provision, under the US Supreme Court’s definition of “maker” of false statements in <a href=""https://www.oyez.org/cases/2010/09-525""><em>Janus Capital Group., Inc. v. First Derivative Traders</em>, 564 U.S. 135 (2011)</a>.</p>
",majority opinion,Francis V. Lorenzo,Securities and Exchange Commission,False,Economic Activity,3046,6,7,7,False,False
Franchise Tax Board of California v. Hyatt,2018,"<p>In 1993, a tax auditor for the Franchise Tax Board of California (FTB) read a newspaper about Gilbert P. Hyatt, an inventor, and the large amounts of money he was making from the patent. The auditor decided to investigate Hyatt, and, after finding some discrepancies, opened an audit on Hyatt’s 1991 state tax return. In conducting the audit, the auditor found additional discrepancies  surrounding Hyatt’s move from California to Nevada and opened an audit as to his 1992 tax returns. FTB determined that Hyatt owed $1.8 million in state income taxes, plus $1.4 million in penalties and $1.2 million in interest, resulted in a tax assessment of $4.5 million for Hyatt’s 1991 tax year. FTB further found that Hyatt owed over $6 million in taxes and interest for 1992, plus penalties.</p>
<p>Hyatt challenged the conclusions by filing protests with FTB and then in California courts. In 1998, Hyatt sued FTB in Nevada state court seeking damages for intentional torts and bad-faith conduct allegedly committed by FTB auditors during tax audits of Hyatt’s 1991 and 1992 state tax returns.</p>
<p>FTB filed a motion for partial summary judgment challenging the Nevada district court’s jurisdiction over Hyatt’s declaratory relief cause of action. The district court granted partial summary judgment, finding that the timing of Hyatt’s move from California to Nevada should be resolved via the administrative investigation. FTB also asked the Nevada Supreme Court to decide whether it was entitled to complete immunity under several theories: it enjoyed complete immunity under California law, it was entitled to sovereign immunity, the Full Faith and Credit Clause, and comity. The Nevada Supreme Court concluded FTB was not entitled to complete immunity under any of these principles, but was entitled to partial immunity equal to the immunity a Nevada government agency would receive. Thus, the court concluded that FTB was immune from the negligence cause of action, but not from the intentional tort causes of action.</p>
<p>FTB appealed to the US Supreme Court, and the Court upheld the court’s determination that FTB was entitled only to partial immunity under comity principles. Two other questions from this litigation made their way to the US Supreme Court, and the Court (1) split 4–4 as to whether it should overrule <em>Nevada v. Hall</em>, which provides “that one State … can open the doors of its courts to a private citizen’s lawsuit against another State … without the other State’s consent,” and (2) held that the Constitution does not permit Nevada to award damages against California agencies under its state law that are greater than it could award against Nevada agencies in similar circumstances. With these preliminary legal questions resolved, a Nevada jury finally found in favor of Hyatt and awarded him $85 million for emotional distress, $52 million for invasion of privacy, over $1 for special damages for fraud, and $250 million in punitive damages. The Nevada Supreme Court issued upholding the damages, subject to the statutory caps to which FTB is entitled, consistent with the US Supreme Court’s holding on that issue.</p>
<p>FTB asked the US Supreme Court to reconsider the first question again, whether to overrule <em>Nevada v. Hall</em>.</p>
",majority opinion,Franchise Tax Board of California,Gilbert P. Hyatt,True,Economic Activity,3281,5,5,5,True,True
Nutraceutical Corp. v. Lambert,2018,"<p>Troy Lambert purchased an alleged aphrodisiac dietary supplement that was manufactured by Nutraceutical, but that had not been approved by the Food and Drug Administration (FDA). Based on the product’s labels, Lambert believed that the supplement would enhance his sexual performance, and had he known these claims were false, he would not have purchased the product. </p>
<p>Lambert believed that the product violated FDA regulations because it purported to increase sexual desire but had not been through clinical testing, and because it was not FDA-approved. He further alleged that the product illegally failed to prominently display this lack of FDA approval on its labeling, and that the labeling also failed to mention a potentially dangerous ingredient. Lambert filed a consumer class action under Federal Rule of Civil Procedure (FRCP) 23(b)(3), alleging state law claims related to unfair competition, false advertising, and other violations.</p>
<p>The district court granted class certification based on the full refund damages model, which applies when a product is useless and involves calculating the average retail price and the number of units sold. The judge hearing the case retired, and Lambert’s action was reassigned to a new judge. Discovery was completed, and Nutraceutical filed a motion for decertification. The new judge granted the motion, finding that Lambert had failed to provide essential evidence to apply his classwide damages model, meaning that common issues did not predominate as required under Rule 23(b)(3). </p>
<p>Ten days after the order was issued decertifying the class, Lambert informed the court that he intended to file a motion for reconsideration, and the court instructed him to file the motion within ten days, which was twenty days after the decertification order. In accordance with the court’s instructions, Lambert filed his motion for reconsideration ten days later, highlighting evidence from his class certification motion that could be used to support the full refund damages model. He also offered an alternative damages model for the first time, based on non-restitutionary engorgement. </p>
<p>Three months later, the court denied his motion for reconsideration, rejecting his proposed damages models. Lambert timely filed a petition under Rule 23(f) for permission to appeal the district court’s orders denying the motion for reconsideration and granting the motion for class decertification to the 9th Circuit, which conditionally granted his petition.</p>
<p>A three-judge panel of the 9th Circuit held that Lambert’s Rule 23(f) petition for class certification had been timely filed with the appellate court. The court explained that because Rule 23(f)’s 14-day deadline was procedural rather than jurisdictional, equitable exceptions such as tolling could apply. It also held that filing a motion for reconsideration before the Rule 23(f) deadline would toll the deadline. The panel further held that other circumstances could toll the deadline. In this case, Lambert had informed the district court of his intention to file a motion for reconsideration within Rule 23(f)’s 14-day window, and had submitted the filing within the ten-day time frame set by that court. The panel concluded that under these circumstances the deadline should be tolled and Lambert’s motion for reconsideration should be considered timely filed with the Ninth Circuit, while recognizing that a number of other circuits would likely reach the opposite conclusion.</p>
",majority opinion,Nutraceutical Corporation,Troy Lambert,True,Judicial Power,3516,9,9,9,True,True
Taggart v. Lorenzen,2018,"<p>In the words of the Ninth Circuit decision below, “[t]his case arises out of a complex set of bankruptcy proceedings.”</p>
<p>Petitioner Bradley Taggart is a real estate developer who owned 25% interest in Sherwood Park Business Center (“SPBC”). Respondents Terry Emmert and Keith Jehnke also each owned a 25% interest in SPBC. In 2007, Taggart purported to transfer his share of SPBC to his attorney, John Berman.</p>
<p>Emmert and Jehnke sued Taggart and Berman in Oregon state court, alleging that the transfer violated SPBC’s operating agreement by not allowing Emmert and Jehnke the right of first refusal. Emmert and Jehnke also sought attorneys’ fees. Taggart moved to dismiss the claim and filed a counterclaim for attorneys’ fees.</p>
<p>In November 2009, shortly before the case went to trial, Taggart filed a voluntary Chapter 7 bankruptcy petition. The state-court action was stayed pending the resolution of the bankruptcy petition, and in February 2010, Taggart received his discharge in the bankruptcy proceedings.</p>
<p>After the discharge, Emmert and Jehnke, represented by attorney Stuart Brown, continued the state-court action. Taggart was largely absent from subsequent proceedings, although Berman renewed his motion to dismiss on Taggart’s behalf at the close of evidence. After a trial, the state court ruled in favor of Emmert and Jehnke and unwound the transfer of Taggart’s share of SPBC to Berman and expelled Taggart from the company. The state court entered a judgment that allowed any party to petition for attorneys’ fees, which led to yet more complicated litigation in state and federal courts.</p>
<p>Brown, the attorney for Emmert and Jehnke, filed a petition for attorneys’ fees in state court on behalf of SPBC, Emmert, and Jehnke, against both Berman and Taggart, but limiting fees against Taggart to those incurred after the date of Taggart’s bankruptcy discharge. The petition notified the court of Taggart’s bankruptcy discharge but argued he could still be liable for attorneys’ fees on the theory that Taggart had “returned to the fray.”</p>
<p>While the attorneys’ fee petition was pending in state court, Taggart sought to reopen his bankruptcy proceeding in bankruptcy court. Once reopened, Taggart asked the court to hold Brown, Jehnke, Emmert, and SPBC (collectively the “Creditors”) in contempt for violating the bankruptcy discharge by seeking an award of attorneys’ fees against him in the state court action.</p>
<p>The state court ruled that Taggart had “returned to the fray” as a matter of law, so he could be held liable for attorneys’ fees incurred after his bankruptcy. Taggart timely appealed the state-court determination.</p>
<p>Subsequently, the bankruptcy court denied Taggart’s motion for contempt, agreeing with the state court that Taggart had “returned to the fray.” On appeal, the district court reversed, finding that Taggart’s actions did not constitute a “return to the fray” and thus the discharge injunction barred the claim against him for attorneys’ fees. The district court remanded for a determination whether the Creditors had “knowingly violated the discharge injunction in seeking attorneys’ fees.” On remand, the bankruptcy court found they had knowingly violated the discharge injunction and thus held them in contempt. On appeal, the Bankruptcy Appellate Panel (“BAP”) reversed the bankruptcy court’s finding of contempt, finding they had a good faith belief that the discharge injunction did not apply to their attorneys’ fee claim.</p>
<p>Back in state court, the state appellate court found that Taggart’s actions did not constitute a “return to the fray” and thus reversed the state trial court as to its ruling on attorneys’ fees. As a result, the federal district court and the state appellate court both agreed that the Creditors could not pursue attorneys’ fees against Taggart, and the BAP’s ruling freed them from being held in contempt for knowingly violating the discharge injunction.</p>
<p>The Ninth Circuit affirmed the BAP’s opinion, holding that the Creditors did not knowingly violate the discharge injunction and thus could not be held in contempt because they had a subjective good-faith belief that the discharge injunction did not apply to their state-court claim for attorneys’ fees.</p>
",majority opinion,Bradley Weston Taggart,"Shelley A. Lorenzen, et al.",True,Economic Activity,4299,9,9,9,True,True
"Cochise Consultancy Inc. v. United States, ex rel. Hunt",2018,"<p>The US Department of Defense awarded petitioner The Parsons Corporation a $60 million contract to perform munitions cleanup in Iraq. One component of the contract was that Parsons must provide adequate security to its employees who would be performing the cleanup. After seeking bids for a subcontract, a Parsons committee awarded it to ArmorGroup. Although petitioner Cochise Consultancy had submitted a bid, it did not win the subcontract. However, an Army Corps of Engineers contracting officer, Wayne Shaw, whom Cochise had allegedly bribed undertook elaborate efforts—including forgery, deception, and threats—to induce Parsons to award the subcontract to Cochise rather than to ArmorGroup. One employee in particular refused to award the subcontract to Cochise, believing that the award was made in violation of government regulations. That employee was replaced, and his replacement allowed the award of the subcontract to Cochise to move forward.</p>
<p>From February to September 2006, Cochise provided security services under the subcontract. Each month, the US government paid Cochise at least $1 million more than it would have paid ArmorGroup had ArmorGroup been awarded the subcontract, plus other expenses related to Cochise not being adequately equipped to perform the services required. In 2006, Shaw, who had orchestrated the fraudulent award of the subcontract to Cochise, rotated out of Iraq, and Parsons immediately reopened the subcontract for bidding and awarded it to ArmorGroup.</p>
<p>Several years later, in 2010, FBI agents interviewed Parsons employee Billy Joe Hunt about his role in a separate kickback scheme, and during that interview Hunt informed the agents about the contractors’ fraudulent scheme involving the subcontract for security services. Hunt was charged with federal crimes related to the kickback scheme and served ten months in federal prison.</p>
<p>After he was released, in 2013, Hunt filed a <em>qui tam</em> action under seal alleging that Parsons and Cochise had violated the False Claims Act (FCA), 31 U.S.C. §§ 3729–33, by submitting to the United States false or fraudulent claims for payment. The United States declined to intervene in the action, and Hunt’s complaint was unsealed. The contractors moved to dismiss, arguing that Hunt’s claim was barred by the statute of limitations in 31 U.S.C. § 3731(b)(1), which requires a civil action alleging an FCA violation to be brought within the later of (1) “6 years after the date on which the violation … is committed” or (2) “3 years after the date when facts material to the right of action are known or reasonably should have been known by the official of the United States charged with responsibility to act in the circumstances….” The district court granted the contractors’ motion to dismiss, finding that under either provision, Hunt’s claim would be time-barred. Reviewing the district court’s dismissal <em>de novo</em>, the US Court of Appeals for the Eleventh Circuit reversed and remanded. The Eleventh Circuit held that when Hunt (the relator) learned of the fraud is immaterial for statute of limitation purposes, and thus the period began to run when government officials learned of the facts giving rise to the claim.</p>
",majority opinion,"Cochise Consultancy, Inc. et al.","United States, ex rel. Billy Joe Hunt",False,Judicial Power,3248,9,5,9,False,True
"Fort Bend County, Texas v. Davis",2018,"<p>Lois Davis was an information technology (IT) supervisor for Fort Bend County, Texas. She filed a complaint with the county human resources department alleging that the IT director had sexually harassed and assaulted her, and following an investigation by the county, the director resigned. Davis alleges that after the director’s resignation, her supervisor—who was a personal friend of the director—retaliated against her for making the complaint.</p>
<p>Davis filed a charge with the Texas Workforce Commission alleging sexual harassment and retaliation. While the charge was pending, Davis allegedly informed her supervisor of a specific Sunday she could not work due to a “previous religious commitment,” and the supervisor did not approve the absence. Davis attended the event and did not report to work, and Fort Bend terminated her employment.</p>
<p>Davis submitted to the Commission an “intake questionnaire” in which she wrote in the word “religion” next to a checklist labeled “Employment Harms or Actions” but did not amend her charge of discrimination or explain the note. The Commission informed Davis that it had made a preliminary decision to dismiss her charge and issued a right-to-sue letter. Davis filed her lawsuit in federal district court alleging both retaliation and religious discrimination under Title VII. The district court granted summary judgment in favor of the county on all claims.</p>
<p>The Fifth Circuit affirmed the lower court as to the retaliation claim but reversed and remanded as to her religious discrimination claim, finding genuine disputes of material fact that warranted a trial. On remand, Fort Bend argued for the first time that Davis had failed to exhaust her administrative remedies on the religious discrimination claim, as required by Title VII. The district court agreed, finding that administrative exhaustion is a jurisdictional prerequisite in Title VII cases. Because subject matter jurisdiction cannot be waived by failure to challenge it, the district court dismissed Davis’s religious discrimination claim with prejudice.</p>
<p>Title VII requires plaintiffs to exhaust their administrative remedies by filing formal charges with the EEOC. There is no consensus within the Fifth Circuit whether this requirement is a jurisdictional requirement (which may be raised at any point and cannot be waived) or merely a prerequisite to suit (and thus subject to waiver). Relying on the Supreme Court’s decision in <a href=""https://www.oyez.org/cases/2005/04-944""><em>Arbaugh v. Y &amp; H Corp.</em>, 546 U.S. 500 (2006)</a>, in which the Court held that the Title VII’s statutory limitation of covered employers to those with 15 or more employees was not jurisdictional, the Fifth Circuit held that the administrative exhaustion requirement was also not jurisdictional. This holding is consistent with holdings in the First, Second, Third, Sixth, Seventh, Tenth, and DC Circuits, but inconsistent with holdings by the Fourth, Ninth, and Eleventh Circuits.</p>
",majority opinion,"Fort Bend County, Texas",Lois M. Davis,False,Civil Rights,3019,9,8,9,False,True
Altitude Express v. Zarda,2019,"<p>Donald Zarda worked in 2010 as a sky-diving instructor at Altitude Express. Part of his job was to participate in tandem skydives with clients, in which he was necessarily strapped in close proximity to the client. A gay man, Zarda sometimes told female clients about his sexual orientation to address any concern they might have about being strapped to a man for a tandem skydive. On one occasion after Zarda informed a female client about his sexual orientation and performed the tandem jump with her, the client alleged that Zarda had inappropriately touched her and disclosed his sexual orientation to excuse his behavior. In response to this complaint, Zarda's boss fired him. Zarda denied touching the client inappropriately and claimed that he was fired solely because of his reference to his sexual orientation.</p>
<p>Zarda filed a discrimination charge with the Equal Employment Opportunity Commission (EEOC) claiming that he was fired because of his sexual orientation and also because of he did not conform to male gender stereotypes. He brought a claim in federal court alleging, among other things, that Altitude Express violated Title VII of the Civil Rights Act of 1964 by terminating him because of his sexual orientation. The district court ruled for Altitude Express, finding that Title VII does not protect against discrimination based on sexual orientation. After the district court's ruling, the EEOC issued an opinion in a separate case (persuasive but not binding on federal district courts) that Title VII's “on the basis of sex” language necessarily includes discrimination “on the basis of sexual orientation.” In light of this decision, Zarda moved for the district court to reinstate his Title VII claim, but the district court denied the motion, citing binding Second Circuit precedent, <a href=""https://law.justia.com/cases/federal/appellate-courts/F3/232/33/514971/""><em>Simonton v. Runyon</em>, 232 F.3d 33 (2d Cir. 2000)</a>, and <a href=""https://law.justia.com/cases/federal/appellate-courts/F3/398/211/597672/""><em>Dawson v. Bumble &amp; Bumble</em>, 398 F.3d 211 (2d Cir. 2005)</a>.</p>
<p>Zarda appealed to the US Court of Appeals for the Second Circuit, which ruled for Altitude Express as well. The panel declined Zarda’s request that it reconsider its interpretation of Title VII and overturn <em>Simonton</em> and <em>Dawson</em>, as only the court sitting en banc can do that. The Second Circuit then agreed to rehear the case en banc and expressly overruled <em>Simonton</em> and <em>Dawson</em>, finding, consistent with the EEOC’s position, that Title VII’s prohibition on discrimination because of sex necessarily includes discrimination because of sexual orientation.</p>
<p>This case is consolidated for oral argument with <a href=""https://www.oyez.org/cases/2019/17-1618""><em>Bostock v. Clayton County</em>, No. 17-1618</a>.</p>
",majority opinion,"Altitude Express, Inc., et al.","Melissa Zarda, as Executor of the Estate of Donald Zarda, et al.",False,Civil Rights,2882,6,6,6,True,True
"Atlantic Richfield Co. v. Christian, et al.",2019,"<p>This case arises from Montana’s Anaconda Smelter site—the location of a large copper concentrating and smelting operation that started in 1884 and expanded to other nearby areas in 1902. In 1977, Atlantic Richfield purchased Anaconda Smelter, and it shut down smelter activities in 1980. The smelter operations over the almost-century of operations caused high concentrations of arsenic, lead, copper, cadmium, and zinc to contaminate soil, groundwater, and surface water. In 1983, the EPA prioritized the Anaconda Smelter site as a Superfund site, working with Atlantic Richfield to address the contamination. Since then, Atlantic Richfield has worked with the EPA for 35 years to remediate the site, at a cost of approximately $470 million.</p>
<p>In 2008, landowners within the Anaconda Superfund site sued Atlantic Richfield in Montana state court, alleging that the smelter operations between 1884 and 1980 had caused damage to their properties. Atlantic Richfield raised no objections to the plaintiffs’ claims of loss of use and enjoyment of property, diminution of value, incidental and consequential damages, and annoyance and discomfort. However, it did object to the common-law claim for “restoration” damages.</p>
<p>To establish a claim for restoration damages in Montana, plaintiffs must prove that they will actually use the award to clean up the site. The plaintiffs in this case alleged that restoration of their property requires “work in excess of what the EPA required of Atlantic Richfield in its selected remedy.” Atlantic Richfield moved for summary judgment, arguing that the restoration claim constituted a “challenge” to the EPA’s remedy and thus was jurisdictionally barred by CERCLA § 113, which deprives courts of jurisdiction to hear challenges to EPA-selected remedies. Atlantic Richfield also argued that the landowners are “potentially responsible parties” and thus must seek EPA approval under 42 U.S.C. § 9622(e)(6) of CERCLA before engaging in remedial action. Finally, Atlantic Richfield argued that CERCLA preempted state common-law claims for restoration.</p>
<p>The trial court held that CERCLA permitted plaintiffs’ claim for restoration damages, and Atlantic Richfield sought a writ of supervisory control from the Montana Supreme Court, which the court granted. Over a dissent, the Supreme Court of Montana rejected all three of Atlantic Richfield’s arguments, affirming the trial court’s decision permitting the plaintiffs to proceed to a jury trial on their restoration claim.</p>
",majority opinion,Atlantic Ritchfield Company,"Gregory A. Christian, et al.",True,Economic Activity,2529,7,8,7,False,True
McKinney v. Arizona,2019,"<p>By way of relevant background, James McKinney’s childhood was “horrific” due to poverty, physical and emotional abuse—all detailed in the court filings. Around age 11, he began drinking alcohol and smoking marijuana, and he dropped out of school in the seventh grade. He repeatedly tried to run away from home and was placed in juvenile detention.</p>
<p>In 1991, when McKinney was 23, he and his half-brother Michael Hedlund committed two burglaries that resulted in two deaths. The state of Arizona tried McKinney and Hedlund before dual juries. McKinney’s jury found him guilty of two counts of first-degree murder (without specifying whether it reached that verdict by finding premeditation or by finding felony murder), and Hedlund’s jury found him guilty of one count of first-degree murder and one count of second-degree murder.</p>
<p>At McKinney’s capital sentencing hearing (before a judge), a psychologist testified that he had diagnosed McKinney with PTSD “resulting from the horrific childhood McKinney had suffered.” The psychologist further testified that witnessing violence could trigger McKinney’s childhood trauma and produce “diminished capacity.” The trial judge credited the psychologist’s testimony, but under Arizona law at the time, the judge was prohibited from considering non-statutory mitigating evidence that the judge found to be unconnected to the crime. Because McKinney’s PTSD was not connected to the burglaries, the judge could not consider it mitigating evidence and thus sentenced him to death.</p>
<p>The Arizona Supreme Court affirmed McKinney’s death sentence on appeal. In 2003, McKinney filed a habeas petition in federal court. The district court denied relief, and a panel of the Ninth Circuit affirmed. The Ninth Circuit granted rehearing en banc and held that the Arizona courts had violated the U.S. Supreme Court’s decision in <a href=""https://www.oyez.org/cases/1981/80-5727""><em>Eddings v. Oklahoma</em>, 455 U.S. 104 (1982)</a>, by refusing to consider McKinney’s PTSD. In Eddings, the Court held that a sentencer in a death penalty case may not refuse consider any relevant mitigating evidence. A violation of <em>Eddings</em>, the Ninth Circuit held, required resentencing. Thus, the Ninth Circuit remanded to the federal district court to either correct the constitutional error or vacate the sentence and impose a lesser sentence. Arizona moved for independent review of McKinney’s sentence by the Arizona Supreme Court; McKinney opposed the motion on the ground that he was entitled to resentencing by a jury under the U.S. Supreme Court’s decision in <a href=""https://www.oyez.org/cases/2001/01-488""><em>Ring v. Arizona</em>, 536 U.S. 584 (2002)</a>, which held that juries, rather than judges, must make the findings necessary to impose the death penalty. The Arizona Supreme Court disagreed, finding that McKinney was not entitled to resentencing by a jury because his case was ‘final’ before the U.S. Supreme Court issued its decision in <em>Ring</em>.</p>
",majority opinion,James Erin McKinney,State of Arizona,False,Criminal Procedure,3021,5,5,5,True,True
Georgia v. Public.Resource.Org Inc.,2019,"<p>The Official Code of Georgia Annotated is a compilation of Georgia statutes accompanied by various annotations, “consisting of history lines, repeal lines, cross references, commentaries, case notations, editor’s notes, excerpts from law review articles, summaries of opinions of the Attorney General of Georgia, summaries of advisory opinions of the State Bar, and other research references.” Although the Code itself states that the annotations are part of the official code and that the statutory portions “shall be merged with annotations,” Georgia law says that the annotations themselves do not have the force of law. The annotations are prepared pursuant to an agreement between Mathew Bender &amp; Co., an operating division of the LexisNexis Group, and the State of Georgia, under which the state exercises pervasive supervisory control by way of its Code Revision Commission, a body established by the Georgia General Assembly. The Commission is comprised of the Lieutenant Governor, four members of the Georgia Senate, the Speaker of the Georgia House of Representatives, four additional members of the Georgia House of Representatives, and five members appointed by the president of the State Bar of Georgia.</p>
<p>Public.Resource.Org (PRO) is a non-profit organization with a mission of improving public access to government records and primary legal materials. In 2013, PRO purchased all 186 volumes of the print version of the OCGA and its supplements, scanned them, and uploaded them to its website to be freely accessible to the public. It also distributed digital copies to Georgia legislators and other organizations and websites.</p>
<p>The Commission sent PRO several cease-and-desist letters on the grounds that publication infringes on the State of Georgia’s copyright in their work, but PRO persisted. The Commission sued PRO in 2015 in federal district court, seeking injunctive relief. PRO acknowledged its publication and dissemination of the OCGA but denied that the State of Georgia holds an enforceable copyright in the Code. The district court ruled for the Commission, finding that because the annotations of the OCGA lack the force of law, they are not public domain material. On appeal, the U.S. Court of Appeals for the Eleventh Circuit reversed, finding that because of the way they are written and integrated into the “official” code, the annotations in the OCGA are attributable to the constructive authorship of the People and are thus intrinsically public domain material. To reach this conclusion, the Eleventh Circuit examined the identity of the public officials who created the work, the authoritativeness of the work, and the process by which the work was created—finding that each of these markers supported the conclusion that the People were constructively the authors of the annotations.</p>
",majority opinion,"State of Georgia, et al.","Public.Resource.Org, Inc.",False,Economic Activity,2845,5,5,5,True,True
"Financial Oversight and Management Board for Puerto Rico v. Aurelius Investment, LLC",2019,"<p>Since it was ceded to the United States in 1898, Puerto Rico has accumulated substantial debt, in large part due to its ambiguous legal status as a protectorate of the United States and the economically detrimental policies the United States has enacted over the decades. Exacerbated by a series of governmental financial deficits and a recession, Puerto Rico’s debt crisis came to a head in 2015, when its governor announced that the Commonwealth was in a “death spiral” and was unable to pay its debt. In June 2016, President Barack Obama signed into law the Puerto Rico Oversight, Management and Economic Stability Act of 2016 (PROMESA), which gave him authority to appoint a seven-member Financial Oversight and Management Board that would have control over Puerto Rico’s budget and would negotiate the restructuring of its $125 billion indebtedness. President Obama appointed the seven-member board in August 2016 based on lists supplied by Republic and Democratic lawmakers.</p>
<p>A number of creditors and elected officials of Puerto Rico have been dissatisfied with the board and its decisions and brought a lawsuit challenging President Obama’s authority to appoint the board members. The challengers alleged that the Appointments Clause of the U.S. Constitution requires that the Senate confirm high-level federal officers and that the board members were within the scope of this Clause. The federal district court in Puerto Rico ruled against the creditors, finding the board is an instrumentality of the Commonwealth government established pursuant to Congress’s plenary powers under the Territorial Clause and that the board members are not “Officers of the United States.”</p>
<p>The U.S. Court of Appeals for the First Circuit reversed, concluding that the Territorial Clause does not supersede the application of the Appointments Clause in an unincorporated territory and that the board members are “Officers of the United States” because: (1) they occupy “continuing positions,” (2) exercise “significant authority” that is the same or more than that exercised by other officers the U.S. Supreme Court has found to be “Officers of the United States,” and (3) exercise their authority “pursuant to the laws of the United States.” Moreover, these officers are “principal” officers subject to the Appointments Clause because they are answerable to and removable only by the President and are not directed or supervised by others who were appointed by the President with Senate confirmation.</p>
",majority opinion,Financial Oversight and Management Board for Puerto Rico,"Aurelius Investment, LLC, et al.",True,Federalism,2513,9,7,9,False,True
Babb v. Wilkie,2019,"<p>Petitioner Noris Babb worked as a pharmacist for the Veterans Affairs (VA) Medical Center in Bay Pines, Florida, since 2004. While there, she helped to develop the Geriatric Pharmacotherapy Clinic (GPC), which serves older veterans with diseases or disabilities common to individuals of advanced age with military service. In 2009, Pharmacy Management gave Babb an advanced scope (full practice authority) to prescribe medications without a physician, which was necessary for her position. In 2010, the VA rolled out a nationwide treatment initiative similar to the GPC Babb had helped develop. Against recommendations by Human Resources and despite requests from doctors, Pharmacy Management rejected applications by several current module pharmacists—all females over 50—and granted applications of two pharmacists under 40.</p>
<p>Two of the female pharmacists who were denied advancement filed Equal Employment Opportunity (EEO) complaints, and Babb provided statements and testified in support of their EEO claims. The pharmacists claimed that their non-selection purportedly for lack of advanced scopes was pretext for discrimination and that any justification for denying advanced scopes was pretext for discrimination as well.</p>
<p>Babb alleged that as a result of her participation in the EEO process, she was denied opportunities to participate in the new program and that Pharmacy Management required her to agree to a schedule that was unworkable for her department. Unable to meet this requirement, Babb’s advanced scope was removed and was consequently disqualified from promotion. A female pharmacist under 30 without an advanced scope was selected for the promotion.</p>
<p>Babb brought this action under Title VII of the Civil Rights Act of 1964 and the Age Discrimination in Employment Act of 1967 (ADEA) alleging that she was the victim of gender-plus-age discrimination and that the VA retaliated against her for participating in protected EEO in violation of those laws. The district court granted summary judgment for the VA. On appeal to the U.S. Court of Appeals for the Eleventh Circuit, Babb argued that the district court erred in part by not allowing her to prove that illegal discrimination or retaliation was a “motivating factor” behind the VA’s refusal to promote her. The Eleventh Circuit affirmed the lower court, finding itself bound by precedent that federal sector employees’ claims under ADEA and Title VII require that the plaintiff show discrimination or retaliation is a “but for” factor in the adverse personnel action.</p>
",majority opinion,Noris Babb,"Robert Wilkie, Secretary of Veterans Affairs",True,Civil Rights,2571,8,8,7,True,False
